model_id,embedding_family,embedding,model,beta,accuracy,precision,recall,f_1.0,f_0.7,f_0.5,f_0.3,TN,TP,FP,FN,confusion_matrix,score_type,model_path
CM089,longformer,longformer_cls,RandomForest,0.5,0.7280701754385965,0.6410256410256411,0.3424657534246575,0.4464285714285714,,0.5458515283842795,,141,25,14,48,"[[141, 14], [48, 25]]",,
CM090,longformer,longformer_cls,XGBoost,0.5,0.7236842105263158,0.6136363636363636,0.3698630136986301,0.4615384615384615,,0.5421686746987951,,138,27,17,46,"[[138, 17], [46, 27]]",,
CM091,longformer,longformer_cls_pca,LogisticRegression,1.0,0.7412280701754386,0.5729166666666666,0.7534246575342466,0.650887573964497,,,,114,55,41,18,"[[114, 41], [18, 55]]",,
CM092,longformer,longformer_cls_pca,RidgeClassifier,1.0,0.7280701754385965,0.569620253164557,0.6164383561643836,0.5921052631578947,,,,121,45,34,28,"[[121, 34], [28, 45]]",,
CM093,longformer,longformer_cls_pca,LDA,1.0,0.7017543859649122,0.5471698113207547,0.3972602739726027,0.4603174603174603,,,,131,29,24,44,"[[131, 24], [44, 29]]",,
CM094,longformer,longformer_cls_pca,SVM,1.0,0.7149122807017544,0.55,0.6027397260273972,0.5751633986928104,,,,119,44,36,29,"[[119, 36], [29, 44]]",,
CM095,longformer,longformer_cls_pca,KNN,1.0,0.6754385964912281,0.4925373134328358,0.4520547945205479,0.4714285714285714,,,,121,33,34,40,"[[121, 34], [40, 33]]",,
CM096,longformer,longformer_cls_pca,MLPClassifier,1.0,0.7456140350877193,0.6363636363636364,0.4794520547945205,0.546875,,,,135,35,20,38,"[[135, 20], [38, 35]]",,
CM097,longformer,longformer_cls_pca,DecisionTree,1.0,0.4736842105263157,0.3701657458563536,0.9178082191780822,0.5275590551181102,,,,41,67,114,6,"[[41, 114], [6, 67]]",,
CM098,longformer,longformer_cls_pca,RandomForest,1.0,0.7587719298245614,0.65,0.5342465753424658,0.5864661654135338,,,,134,39,21,34,"[[134, 21], [34, 39]]",,
CM099,longformer,longformer_cls_pca,XGBoost,1.0,0.7149122807017544,0.9,0.1232876712328767,0.216867469879518,,,,154,9,1,64,"[[154, 1], [64, 9]]",,
CM100,longformer,longformer_cls_pca,LogisticRegression,0.5,0.7280701754385965,0.6410256410256411,0.3424657534246575,0.4464285714285714,,0.5458515283842795,,141,25,14,48,"[[141, 14], [48, 25]]",,
CM101,longformer,longformer_cls_pca,RidgeClassifier,0.5,0.7105263157894737,0.5686274509803921,0.3972602739726027,0.4677419354838709,,0.5234657039711191,,133,29,22,44,"[[133, 22], [44, 29]]",,
CM102,longformer,longformer_cls_pca,LDA,0.5,0.7017543859649122,0.5471698113207547,0.3972602739726027,0.4603174603174603,,0.5087719298245614,,131,29,24,44,"[[131, 24], [44, 29]]",,
CM103,longformer,longformer_cls_pca,SVM,0.5,0.7105263157894737,0.5777777777777777,0.3561643835616438,0.4406779661016949,,0.5138339920948617,,136,26,19,47,"[[136, 19], [47, 26]]",,
CM104,longformer,longformer_cls_pca,KNN,0.5,0.6710526315789473,0.46875,0.2054794520547945,0.2857142857142857,,0.373134328358209,,138,15,17,58,"[[138, 17], [58, 15]]",,
CM105,longformer,longformer_cls_pca,MLPClassifier,0.5,0.7456140350877193,0.6415094339622641,0.4657534246575342,0.5396825396825397,,0.5964912280701754,,136,34,19,39,"[[136, 19], [39, 34]]",,
CM106,longformer,longformer_cls_pca,DecisionTree,0.5,0.7192982456140351,0.5737704918032787,0.4794520547945205,0.5223880597014925,,0.5520504731861199,,129,35,26,38,"[[129, 26], [38, 35]]",,
